iter	Passed	Remaining
737	7156	2540
738	7165	2530
739	7175	2521
740	7184	2511
741	7193	2501
742	7201	2491
743	7211	2481
744	7219	2471
745	7230	2461
746	7240	2452
747	7249	2442
748	7258	2432
749	7268	2422
750	7277	2412
751	7286	2402
752	7294	2392
753	7303	2382
754	7312	2372
755	7321	2362
756	7332	2353
757	7342	2344
758	7352	2334
759	7373	2328
760	7383	2318
761	7394	2309
762	7404	2300
763	7414	2290
764	7424	2280
765	7434	2271
766	7444	2261
767	7454	2251
768	7464	2242
769	7474	2232
770	7483	2222
771	7493	2213
772	7502	2203
773	7512	2193
774	7522	2183
775	7531	2174
776	7541	2164
777	7550	2154
778	7560	2144
779	7569	2135
780	7578	2125
781	7589	2115
782	7598	2105
783	7607	2096
784	7616	2086
785	7625	2076
786	7633	2066
787	7643	2056
788	7652	2046
789	7661	2036
790	7670	2026
791	7679	2016
792	7689	2007
793	7700	1997
794	7710	1988
795	7722	1979
796	7732	1969
797	7741	1959
798	7751	1950
799	7760	1940
800	7770	1930
801	7779	1920
802	7789	1911
803	7800	1901
804	7809	1891
805	7819	1882
806	7828	1872
807	7838	1862
808	7848	1852
809	7858	1843
810	7867	1833
811	7876	1823
812	7885	1813
813	7895	1804
814	7904	1794
815	7913	1784
816	7924	1774
817	7932	1764
818	7943	1755
819	7952	1745
820	7961	1735
821	7972	1726
822	7981	1716
823	7991	1706
824	8001	1697
825	8010	1687
826	8020	1677
827	8029	1667
828	8044	1659
829	8062	1651
830	8073	1641
831	8086	1632
832	8097	1623
833	8106	1613
834	8115	1603
835	8125	1593
836	8135	1584
837	8145	1574
838	8153	1564
839	8163	1554
840	8172	1545
841	8180	1535
842	8190	1525
843	8198	1515
844	8207	1505
845	8217	1495
846	8226	1486
847	8236	1476
848	8244	1466
849	8253	1456
850	8262	1446
851	8271	1436
852	8281	1427
853	8291	1417
854	8300	1407
855	8309	1397
856	8318	1388
857	8327	1378
858	8337	1368
859	8345	1358
860	8355	1348
861	8363	1339
862	8373	1329
863	8382	1319
864	8391	1309
865	8400	1299
866	8408	1289
867	8417	1280
868	8426	1270
869	8436	1260
870	8445	1250
871	8454	1241
872	8463	1231
873	8471	1221
874	8480	1211
875	8488	1201
876	8498	1191
877	8506	1182
878	8516	1172
879	8525	1162
880	8534	1152
881	8543	1142
882	8552	1133
883	8561	1123
884	8570	1113
885	8579	1103
886	8588	1094
887	8597	1084
888	8606	1074
889	8615	1064
890	8623	1054
891	8633	1045
892	8641	1035
893	8650	1025
894	8660	1015
895	8669	1006
896	8681	996
897	8691	987
898	8701	977
899	8710	967
900	8719	958
901	8729	948
902	8739	938
903	8748	929
904	8758	919
905	8767	909
906	8776	899
907	8786	890
908	8796	880
909	8805	870
910	8815	861
911	8825	851
912	8835	841
913	8844	832
914	8854	822
915	8864	812
916	8873	803
917	8883	793
918	8892	783
919	8902	774
920	8912	764
921	8920	754
922	8930	745
923	8939	735
924	8948	725
925	8956	715
926	8965	706
927	8974	696
928	8983	686
929	8992	676
930	9002	667
931	9011	657
932	9021	647
933	9029	638
934	9038	628
935	9047	618
936	9056	608
937	9065	599
938	9073	589
939	9083	579
940	9092	570
941	9101	560
942	9111	550
943	9120	541
944	9128	531
945	9137	521
946	9148	511
947	9158	502
948	9168	492
949	9178	483
950	9189	473
951	9200	463
952	9210	454
953	9219	444
954	9229	434
955	9239	425
956	9249	415
957	9259	405
958	9269	396
959	9279	386
960	9288	376
961	9298	367
962	9308	357
963	9317	347
964	9327	338
965	9336	328
966	9346	318
967	9354	309
968	9365	299
969	9375	289
970	9384	280
971	9393	270
972	9401	260
973	9410	251
974	9419	241
975	9428	231
976	9436	222
977	9446	212
978	9453	202
979	9462	193
980	9471	183
981	9480	173
982	9488	164
983	9498	154
984	9507	144
985	9516	135
986	9525	125
987	9534	115
988	9542	106
989	9551	96
990	9561	86
991	9569	77
992	9578	67
993	9587	57
994	9596	48
995	9604	38
996	9613	28
997	9622	19
998	9632	9
999	9643	0
